,DEVELOPER,PUBLISHER,BASE PRICE,Action,Adventure,Casual,Early Access,Free to Play,Indie,Massively Multiplayer,Movie,RPG,Racing,Simulation,Sports,Strategy,LAN Co-op,Online Co-op,Online PvP,Shared/Split Screen Co-op,Shared/Split Screen PvP,Single-player
648,Glyph Worlds,Glyph Worlds,6.99,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1
649,HFM Games,HFM Games,29.99,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
650,BeamNG,BeamNG,9.99,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
651,Coffee Stain Studios,Coffee Stain Publishing,0.99,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
652,Piranha Games Inc.,Piranha Games Inc.,9.99,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1
653,Voracious Games,"XSEED Games,Marvelous USA, Inc.",59.99,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1
654,Retro Forge,Dear Villagers,69.99,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
655,Capcom,Capcom,29.99,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1
656,"Jerzie,Creobit",8Floor,19.99,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
657,Lion game Lion,Starbreeze Publishing AB,0.99,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
658,niceplay games,tinyBuild,4.99,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1
659,Stardock Entertainment,Stardock Entertainment,0.0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0
660,ToastieLabs,ToastieLabs,29.99,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
661,Retro Army Limited,paulstephendavis,19.99,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1
662,Electric Succubi,Electric Succubi,29.99,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
663,Daedalic Entertainment,Daedalic Entertainment,5.99,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
664,Pine Studio,Pine Studio,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
665,Manic Mice,Manic Mice,0.0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
666,Get Up Games,Iceberg Interactive,0.0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0
667,Mimimi Games,THQ Nordic,0.0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
668,Purple Lamp,THQ Nordic,14.99,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
669,Dio Alias Games,Dio Alias Games,34.99,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1
670,WhackAKey Games,Conglomerate 5,1.99,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1
671,HideChara,Thermite Games,24.99,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
672,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,0.0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1
673,Madbyte Games,Madbyte Games,29.99,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
674,Fluppisoft,Fluppisoft,0.0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
675,Alan Edwardes,Alan Edwardes,29.99,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1
676,Crows Crows Crows,Crows Crows Crows,4.99,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
677,Odyssey Interactive,Odyssey Interactive,39.99,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
678,Frozenmerk Games,Frozenmerk Games,9.99,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1
679,Sharkmob AB,Sharkmob AB,17.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
680,Prism Game Studios Ltd.,Prism Game Studios Ltd.,19.99,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0
681,Kinetic Games,Kinetic Games,9.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
682,Old Games,Old Games,1.99,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1
683,DICE,Electronic Arts,4.99,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1
684,Rusty Lake,Rusty Lake,24.99,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1
685,Vaulted Sky Games,Coffee Stain Publishing,0.0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1
686,Digitalmindsoft,Fulqrum Publishing,13.99,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
687,Heaven Brotherhood,GrabTheGames,24.99,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
688,Doborog Games,Doborog Games,49.99,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1
689,Unknown Worlds Entertainment,Unknown Worlds Entertainment,15.99,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1
690,NEXT Studios,"Team17,NEXT Studios",0.0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0
691,Raw Lion Workshop,Raw Lion Workshop,39.99,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
692,Heartfun,"Leyo Games,2P Games",29.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
693,CABO Studio,Modern Wolf,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1
694,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","Square Enix,Feral Interactive (Mac),Feral Interactive (Linux)",0.0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0
695,"Square Enix,ARTDINK",Square Enix,14.99,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0
696,KishMish Games,KishMish Games,19.99,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1
697,Shugasu GmbH,Shugasu GmbH,3.99,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1
698,NLT Media,NLT Media,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
699,Flashbulb,Flashbulb,39.99,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1
700,Daniel Benmergui,Annapurna Interactive,0.0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1
701,Amaterasu Software,Amaterasu Software,0.99,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0
702,Brace Yourself Games,"Brace Yourself Games,Klei Entertainment",0.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
703,Flying Wild Hog,Devolver Digital,12.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
704,Gaming Minds,Kalypso Media,9.99,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
705,Square Enix,Square Enix,6.99,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1
706,Ubisoft,Ubisoft,39.99,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1
707,Deck Nine,Square Enix,15.99,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1
708,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)",4.99,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
709,Piranha Games Inc.,Piranha Games Inc.,14.99,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1
710,Mimimi Games,THQ Nordic,6.99,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1
711,Arkane Austin,Bethesda Softworks,11.99,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0
712,Ripple Studio,Ripple Studio,39.99,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
713,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,49.99,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
714,"Rocketeer Games Studio, LLC","Rocketeer Games Studio, LLC",69.99,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
715,Coffee Stain Studios,Coffee Stain Publishing,9.99,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0
716,Clever Endeavour Games,Clever Endeavour Games,7.99,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1
717,Pixpil,Chucklefish,0.0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
718,"Cygames, Inc.","Cygames, Inc.",19.99,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
719,RP Studios,Conglomerate 5,19.99,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
720,"Softstar Technology (Shanghai) Co., Ltd.",方块游戏(CubeGame),0.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
721,Amaterasu Software,Amaterasu Software,39.99,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
722,SEGA,SEGA,14.99,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
723,Northwood Studios,Northwood Studios,0.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
724,"Eric Ruts,Jacob Kooiman",HyperReuts,39.99,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1
725,Volens Nolens Games,Volens Nolens Games,19.99,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1
726,Beamdog,Beamdog,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0
727,Purple Lamp,THQ Nordic,9.99,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
728,Rooster Teeth Games,Rooster Teeth Games,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
729,Trident Game Studio,Trident Game Studio,49.99,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1
730,Gabriel Priske,Noetic,4.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
731,Noble Empire Corp.,Noble Empire Corp.,29.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
732,"MaxEstLa,Zino",MaxEstLa,24.99,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1
733,Rockodile,Rockodile,59.99,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0
734,Torpor Games,"Fellow Traveller,Torpor Games",0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1
735,NeocoreGames,NeocoreGames,16.99,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
736,CABO Studio,Modern Wolf,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1
737,Supergiant Games,Supergiant Games,11.99,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
738,"Petroglyph,Lemon Sky Studios",Electronic Arts,0.0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0
739,Explosive Squat Games,HypeTrain Digital,0.0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
740,Tripwire Interactive,Tripwire Interactive,0.0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1
741,NeocoreGames,NeocoreGames,1.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
742,"Frozen District,Empyrean","Frozen District,PlayWay S.A.",0.0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0
743,"Capcom Game Studio Vancouver, Inc.",Capcom,0.0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0
744,Artefacts Studio,Twin Sails Interactive,39.99,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0
745,Spicyhorse Games,Spicyhorse Games,4.99,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0
746,"Valve,NEXON",NEXON,39.99,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
747,PixelMouse,PixelMouse,14.99,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
748,Jordy Lakiere,Jordy Lakiere,13.99,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0
749,"Ubisoft Annecy,Ubisoft Belgrade,Ubisoft Kyiv,Ubisoft Pune,Ubisoft Odesa",Ubisoft Entertainment,6.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
750,Moon Studios GmbH,Xbox Game Studios,2.99,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0
751,Image & Form Games,Image & Form Games,19.99,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
752,Anders Grube Jensen,TraipseWare,0.0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
753,Cyanide Studios,Nacon,0.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
754,Hidden Variable Studios,Autumn Games,0.0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0
755,Grest Games OÜ,Grest Games OÜ,24.99,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1
756,Blackbird Interactive,Focus Entertainment,39.99,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
757,Chronos Unterhaltungssoftware,astragon Entertainment,0.0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
758,"Obsidian Entertainment,Wishlist Games",Wishlist Games,29.99,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0
759,Glass Heart Games,Glass Heart Games,39.99,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
760,Dio Alias Games,Dio Alias Games,24.99,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
761,墨鱼玩游戏,墨鱼玩游戏,4.99,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
762,Team17,Team17,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
763,"Nihon Falcom,Engine Software BV,PH3 GmbH","NIS America, Inc.",0.0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0
764,Jannik Nickel,Jannik Nickel,7.99,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1
765,Creature Cauldron,Creature Cauldron,39.99,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1
766,Sports Interactive,SEGA,19.99,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
767,StalkerAlex,StalkerAlex.,0.0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1
768,Samurai Games,Samurai Games,19.99,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
769,Triskell Interactive,Dotemu,4.99,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
770,Tactical Adventures,Tactical Adventures,19.99,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
771,"X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd.",0.0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1
772,"Christian Whitehead,Headcannon,PagodaWest Games",SEGA,12.99,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
773,"Bit Kid, Inc.","Bit Kid, Inc.",19.99,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1
774,Madbyte Games,Madbyte Games,0.0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
775,SCS Software,SCS Software,1.99,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
776,Ebb Software,Kepler Interactive,44.99,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
777,Soleil Ltd.,Bandai Namco Entertainment,0.0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
778,Coffee Stain North,Coffee Stain Publishing,9.99,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
779,Paleno Games,Paleno Games,14.99,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
780,Digital Extremes,Digital Extremes,0.99,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
781,Piranha Games Inc.,Piranha Games Inc.,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
782,stillalive studios,astragon Entertainment,7.99,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1
783,BattleBrew Productions,"Marvelous Europe,XSEED Games",14.99,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
784,Born Ready Games Ltd.,Born Ready Games,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1
785,TiGames,bilibili,39.99,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1
786,Tango Gameworks,Bethesda Softworks,69.99,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1
787,Square Enix,Square Enix,59.99,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
788,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,3.99,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0
789,Embark Studios,Embark Studios,0.0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1
790,Virtual Basement LLC,Wandering Wizard,0.99,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
791,Asobo Studio,Focus Entertainment,19.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
792,Funcom,Funcom,0.0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1
793,Corroding Games,Corroding Games,0.0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1
794,"Nihon Falcom,PH3 GmbH,Engine Software BV","NIS America, Inc.",0.0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
795,托更的修罗,托更的修罗,49.99,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0
796,GoBit Games,GoBit Games,9.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
797,YOUZU (SINGAPORE) PTE. LTD.,YOUZU (SINGAPORE) PTE. LTD.,39.99,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1
798,MuYan Studio,WaveGame,0.0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
799,Sumo Digital,Gun Interactive,4.99,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0
800,Allods Team,Music Guru LLC,0.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0
801,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",9.99,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
802,Sports Interactive,SEGA,29.99,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0
803,Picroma,Picroma,0.0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1
804,ZUIJIANGYUE Game,"ETime Studio,Merlion Games",0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
805,Sandbox Interactive GmbH,Sandbox Interactive GmbH,19.99,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1
806,Passtech Games,Focus Entertainment,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
807,Marvelous Inc.,"XSEED Games,Marvelous USA, Inc.,Marvelous",0.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
808,Oskar Stålberg,Raw Fury,1.99,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0
809,Echtra Inc.,Gearbox Publishing,24.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
810,MonteBearo,"Goblinz Publishing,Maple Whispering Limited",24.99,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
811,ZemunBRE,SA Industry,0.0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
812,Frozenbyte,Frozenbyte,0.0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1
813,Harebrained Schemes,Paradox Interactive,0.0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1
814,"Pilgrim Adventures,GrabTheGames Studios","GrabTheGames,WhisperGames,TheGamesFortress",0.0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1
815,HL-Galgame,SakuraGame,0.0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1
816,Ankama Studio,"Ankama Games,New Tales",0.0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1
817,PlatSTUDIO,"PlatSTUDIO,AFBIK Studio",29.99,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
818,Shiro Games,"Funcom,Shiro Games",0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
819,Chimeric,Pixeljam,24.99,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0
820,Remedy Entertainment,505 Games,19.99,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0
821,Shawn Hitchcock,Hitchcock Games,29.99,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
822,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","Studio Wildcard,Snail Games USA",7.99,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
823,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",49.99,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0
824,Yodubzz Studios,Freedom Games,5.99,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
825,Prism Game Studios Ltd.,Prism Game Studios Ltd.,4.99,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1
826,Mihai Morosanu,Mihai Morosanu,0.0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0
827,Nihon Falcom,"XSEED Games,Marvelous USA, Inc.",0.0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1
828,Smartly Dressed Games,Smartly Dressed Games,24.99,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1
829,"Crytek,Saber Interactive",Crytek,14.99,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
830,NukGames,NukGames,24.99,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0
831,SOFTSTAR ENTERTAINMENT,SOFTSTAR ENTERTAINMENT,19.99,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
832,"WFS, Inc.","WFS, Inc.",19.99,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
833,Mad Labyrinth Studios LLC,Mad Labyrinth Studios LLC,39.99,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
834,Sometimes You,Sometimes You,24.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
835,"Thekla, Inc.","Thekla, Inc.",29.99,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
836,Rake in Grass,Rake in Grass,59.99,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
837,Ironwood Studios,Kepler Interactive,19.99,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1
838,"PlatinumGames,Little Stone Software",SEGA,0.0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
839,SUPERHOT Team,SUPERHOT Team,19.99,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1
840,Shockfront Studios,Shockfront Studios,0.99,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
841,"Monstars Inc.,Resonair,Stage Games",Enhance,0.0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0
842,Artefacts Studio,Twin Sails Interactive,39.99,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1
843,Sean Young,SmashGames,0.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0
844,Black Lime Studio,Black Lime Studio,19.99,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
845,HR Innoways,Aerosoft GmbH,4.99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
846,Dani,Dani,4.99,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1
847,Destructive Creations,Destructive Creations,11.99,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1
848,insomnia,insomnia,24.99,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
849,Cyan Inc.,Cyan Inc.,9.99,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
850,DONTNOD Entertainment,Capcom,24.99,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
851,RocketBrush Studio,Team17 Digital,19.99,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1
852,Monster Couch,"Monster Couch,Stonemaier Games,indienova",14.99,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
853,Little Green Men Games,Little Green Men Games,9.99,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1
854,ATLUS,SEGA,29.99,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0
855,AKEL,"CreativeForge Games,PlayWay S.A.",14.99,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1
856,Sports Interactive,SEGA,19.99,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
857,Harebrained Schemes,Paradox Interactive,39.99,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0
858,Piao Jingfu,Gamera Game,59.99,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0
859,DO MY BEST,tinyBuild,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0
860,Berezka,KuKo,29.99,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0
861,GoBit Games,GoBit Games,4.99,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1
862,StalkerAlex,StalkerAlex.,24.99,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
863,Firaxis Games,2K,29.99,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
